mV	mV.1	mV.2	mV.3	mV.4	°C	bar	%*bar	Zeit	Datum	Druck	Temp	sep	Zeitstempel	S4-008	%
0,246089	0,719738	0,914552	0,686925	0,507536	23,2558	-0,0469398	4,12122	15:24:47	30.10.2023	1,16535	20,6675	 	2023-10-30 15:24:47	0,26616	3,5364654395675115
0,247637	0,720261	0,914182	0,686297	0,507	23,1927	-0,0473672	4,12179	15:25:47	30.10.2023	1,17803	20,6598	 	2023-10-30 15:25:47	0,273568	3,4988837296163937
0,247879	0,718441	0,912876	0,687575	0,507293	23,2556	-0,0474008	5,11663	15:26:47	30.10.2023	1,11957	20,945	 	2023-10-30 15:26:47	0,182606	4,570174263333244
0,244854	0,717599	0,91303	0,685295	0,505937	23,3395	-0,0473083	4,15813	15:27:47	30.10.2023	1,09932	20,9412	 	2023-10-30 15:27:47	0,178099	3,782456427609795
0,247458	0,721374	0,914309	0,685926	0,506767	23,2989	-0,0479381	4,61649	15:28:47	30.10.2023	1,09861	20,8543	 	2023-10-30 15:28:47	0,18383	4,202119041334049
0,246189	0,717444	0,915185	0,68525	0,507935	23,2808	-0,0479345	4,50003	15:29:47	30.10.2023	1,09392	20,8543	 	2023-10-30 15:29:47	0,19816	4,1136737604212374
0,24603	0,720404	0,913188	0,685709	0,508091	23,1952	-0,0479745	4,50029	15:30:47	30.10.2023	1,09731	20,7405	 	2023-10-30 15:30:47	0,174564	4,101202030419844
0,246264	0,717418	0,912686	0,68712	0,507152	23,2757	-0,0482794	4,50139	15:31:47	30.10.2023	1,09778	20,9566	 	2023-10-30 15:31:47	0,190263	4,10044817723041
0,245453	0,720023	0,912172	0,685863	0,506404	23,3285	-0,0479542	4,51227	15:32:47	30.10.2023	1,09387	20,8591	 	2023-10-30 15:32:47	0,185425	4,125051422929599
0,24363	0,714709	0,913607	0,686376	0,507127	23,1954	-0,0480264	4,51118	15:33:47	30.10.2023	1,09681	20,9719	 	2023-10-30 15:33:47	0,187582	4,113000428515422
0,244291	0,715821	0,912913	0,686512	0,507718	23,1947	-0,0485572	4,51689	15:34:47	30.10.2023	1,09361	20,9415	 	2023-10-30 15:34:47	0,201904	4,1302566728541255
0,244399	0,719123	0,913596	0,686042	0,506652	23,2484	-0,0486407	4,52197	15:35:47	30.10.2023	1,09432	20,8546	 	2023-10-30 15:35:47	0,195052	4,132219094963082
0,245093	0,717212	0,915453	0,686964	0,50688	23,2136	-0,0486552	4,4992	15:36:47	30.10.2023	1,35041	20,9661	 	2023-10-30 15:36:47	0,198253	3,3317288823394375
0,245369	0,717527	0,915808	0,687432	0,50811	23,215	-0,0477947	4,50245	15:37:47	30.10.2023	1,35056	21,5012	 	2023-10-30 15:37:47	0,198734	3,3337652529321167
0,246397	0,718989	0,916894	0,687027	0,506972	23,2212	-0,0470928	5,64192	15:38:47	30.10.2023	1,34978	20,7664	 	2023-10-30 15:38:47	0,233744	4,179881165819615
0,24376	0,718485	0,916017	0,687508	0,507319	23,2337	-0,0481454	5,67006	15:39:47	30.10.2023	1,35015	20,8479	 	2023-10-30 15:39:47	0,253046	4,199577824686147
0,241745	0,717597	0,915253	0,687606	0,507652	23,2278	-0,0486159	5,66906	15:40:47	30.10.2023	1,34932	20,8438	 	2023-10-30 15:40:47	0,254557	4,201419974505677
0,24391	0,717125	0,917337	0,686306	0,508138	23,2775	-0,0472697	5,63153	15:41:47	30.10.2023	1,35027	20,9846	 	2023-10-30 15:41:47	0,253497	4,170669569789745
0,245639	0,716186	0,915376	0,68607	0,507668	23,2207	-0,0477749	5,6384	15:42:47	30.10.2023	1,35046	21,1417	 	2023-10-30 15:42:47	0,2528	4,175169942093805
0,245774	0,718705	0,913635	0,685935	0,507497	23,1906	-0,0472057	5,63883	15:43:47	30.10.2023	1,35034	20,5771	 	2023-10-30 15:43:47	0,269479	4,175859413184827
0,244561	0,714865	0,914472	0,685383	0,507889	23,2647	-0,047148	5,66924	15:44:47	30.10.2023	1,34989	21,0277	 	2023-10-30 15:44:47	0,253473	4,199779241271511
0,246048	0,715571	0,916053	0,687838	0,507664	23,2299	-0,047313	5,64006	15:45:47	30.10.2023	1,35069	20,921	 	2023-10-30 15:45:47	0,258756	4,1756879816982435
0,243073	0,715475	0,915106	0,687077	0,506562	23,2917	-0,0475702	5,64962	15:46:47	30.10.2023	1,60886	20,7767	 	2023-10-30 15:46:47	0,278421	3,5115671966485587
0,245249	0,71507	0,917232	0,687312	0,507425	23,2593	-0,0481999	5,64874	15:47:47	30.10.2023	1,60837	20,8454	 	2023-10-30 15:47:47	0,305957	3,5120898798162115
0,246374	0,716152	0,917217	0,686036	0,508156	23,2512	-0,0481695	6,66203	15:48:47	30.10.2023	1,60801	20,7541	 	2023-10-30 15:48:47	0,309754	4,143027717489319
0,243747	0,712966	0,916035	0,687169	0,508151	23,1716	-0,0473388	6,64236	15:49:47	30.10.2023	1,60817	20,6594	 	2023-10-30 15:49:47	0,313197	4,130384225548294
0,2451	0,714088	0,917642	0,688002	0,506297	23,2173	-0,0475967	6,65725	15:50:47	30.10.2023	1,60525	20,8642	 	2023-10-30 15:50:47	0,322685	4,147173337486373
0,244823	0,716942	0,916504	0,687567	0,507575	23,2472	-0,0492271	6,63741	15:51:47	30.10.2023	1,60866	21,1978	 	2023-10-30 15:51:47	0,327112	4,12604900973481
0,243352	0,713783	0,916438	0,686177	0,507208	23,2822	-0,0470424	6,63902	15:52:47	30.10.2023	1,60455	21,0542	 	2023-10-30 15:52:47	0,329272	4,137621139883457
0,244929	0,715465	0,917256	0,686587	0,507233	23,2638	-0,0476246	6,63852	15:53:47	30.10.2023	1,60743	20,8605	 	2023-10-30 15:53:47	0,319997	4,129896791773203
0,243061	0,713747	0,915111	0,686877	0,507962	23,2187	-0,048008	6,673	15:54:47	30.10.2023	1,60817	20,844	 	2023-10-30 15:54:47	0,327647	4,14943693763719
0,243173	0,714227	0,915291	0,687305	0,506609	23,288	-0,0472644	6,65482	15:55:47	30.10.2023	1,60485	20,9249	 	2023-10-30 15:55:47	0,338715	4,146692837336823
0,245697	0,71397	0,917052	0,685525	0,507349	23,2607	-0,0473068	6,63779	15:56:47	30.10.2023	1,8547	20,8516	 	2023-10-30 15:56:47	0,356032	3,57890224834205
0,245703	0,711899	0,915965	0,687259	0,507647	23,2559	-0,0473296	6,65225	15:57:47	30.10.2023	1,85469	20,9406	 	2023-10-30 15:57:47	0,373778	3,5867179959993316
0,243546	0,711946	0,917249	0,687307	0,507007	23,251	-0,0472163	7,66174	15:58:47	30.10.2023	1,85533	20,9765	 	2023-10-30 15:58:47	0,370904	4,129583416427266
