mV	°C	bar abs	Zeit	Datum
1,0372	21,1494	6,12434	15:04:02	30.10.2023
1,02889	21,0598	6,13017	15:04:12	30.10.2023
1,05775	20,9606	6,12989	15:04:22	30.10.2023
1,05112	20,9543	6,12901	15:04:32	30.10.2023
1,04545	21,0465	6,13083	15:04:42	30.10.2023
1,04656	21,329	6,12734	15:04:52	30.10.2023
1,03065	20,9905	6,12658	15:05:02	30.10.2023
1,03868	21,4949	6,13043	15:05:12	30.10.2023
1,03241	21,0179	6,12777	15:05:22	30.10.2023
1,05296	21,3974	6,12395	15:05:32	30.10.2023
1,04761	21,1026	6,12346	15:05:42	30.10.2023
1,04179	21,2285	6,12653	15:05:52	30.10.2023
1,03838	21,0816	6,12957	15:06:02	30.10.2023
1,04827	21,6534	6,12835	15:06:12	30.10.2023
1,05663	21,3295	6,12695	15:06:22	30.10.2023
1,04624	21,0857	6,12367	15:06:32	30.10.2023
1,04296	21,388	6,12779	15:06:42	30.10.2023
1,0414	21,0574	6,12355	15:06:52	30.10.2023
1,03878	20,9557	6,12268	15:07:02	30.10.2023
1,03486	21,0522	6,12843	15:07:12	30.10.2023
1,04573	21,1515	6,12672	15:07:22	30.10.2023
1,05207	20,8642	6,1237	15:07:32	30.10.2023
1,03914	21,2384	6,12987	15:07:42	30.10.2023
1,03191	20,968	6,12386	15:07:52	30.10.2023
1,03774	21,1437	6,12104	15:08:02	30.10.2023
1,0282	21,1542	6,12328	15:08:12	30.10.2023
1,04943	21,1542	6,12493	15:08:22	30.10.2023
1,04691	21,2469	6,1305	15:08:32	30.10.2023
1,05328	21,2543	6,12472	15:08:42	30.10.2023
1,0596	21,4361	6,12424	15:08:52	30.10.2023
1,04275	21,0932	6,12151	15:09:02	30.10.2023
1,03398	21,5913	6,12697	15:09:12	30.10.2023
1,04179	21,121	6,12077	15:09:22	30.10.2023
1,03003	21,0542	6,12289	15:09:32	30.10.2023
1,02712	21,229	6,12045	15:09:42	30.10.2023
1,04429	21,2543	6,12329	15:09:52	30.10.2023
1,06455	21,4258	6,12125	15:10:02	30.10.2023
1,06039	21,4542	6,12069	15:10:12	30.10.2023
1,05122	21,0341	6,12364	15:10:22	30.10.2023
1,04782	21,3542	6,12415	15:10:32	30.10.2023
1,0468	21,7518	6,12748	15:10:42	30.10.2023
1,05377	21,0636	6,12347	15:10:52	30.10.2023
1,02561	21,4456	6,12576	15:11:02	30.10.2023
1,04866	21,5514	6,1208	15:11:12	30.10.2023
1,04134	20,8806	6,12114	15:11:22	30.10.2023
1,02512	21,4266	6,12079	15:11:32	30.10.2023
1,06165	21,0759	6,11994	15:11:42	30.10.2023
1,05573	21,1481	6,12228	15:11:52	30.10.2023
1,04193	21,061	6,12027	15:12:02	30.10.2023
1,03745	20,9619	6,12289	15:12:12	30.10.2023
1,04527	21,0459	6,11983	15:12:22	30.10.2023
1,0357	21,2361	6,12011	15:12:32	30.10.2023
1,0362	21,3396	6,12117	15:12:42	30.10.2023
1,02903	21,1029	6,12147	15:12:52	30.10.2023
1,04237	21,1538	6,12392	15:13:02	30.10.2023
1,0385	21,1542	6,11638	15:13:12	30.10.2023
1,04112	20,958	6,11986	15:13:22	30.10.2023
1,04894	21,0517	6,12017	15:13:32	30.10.2023
1,03974	21,151	6,11828	15:13:42	30.10.2023
1,03495	21,1542	6,1197	15:13:52	30.10.2023
1,05087	21,1542	6,12025	15:14:02	30.10.2023
1,03321	21,0594	6,11665	15:14:12	30.10.2023
1,02267	21,5249	6,12046	15:14:22	30.10.2023
1,04238	21,0873	6,12013	15:14:32	30.10.2023
1,04722	21,1469	6,11971	15:14:42	30.10.2023
1,05482	21,43	6,11733	15:14:52	30.10.2023
1,04514	21,272	6,12014	15:15:02	30.10.2023
1,03489	21,2543	6,12092	15:15:12	30.10.2023
1,0657	21,2543	6,1171	15:15:22	30.10.2023
1,04308	21,1651	6,11992	15:15:32	30.10.2023
1,0354	21,1542	6,11968	15:15:42	30.10.2023
1,04888	20,9788	6,12053	15:15:52	30.10.2023
1,04435	20,9543	6,11693	15:16:02	30.10.2023
1,04351	21,2132	6,11681	15:16:12	30.10.2023
1,05517	21,0831	6,11941	15:16:22	30.10.2023
1,05285	21,563	6,11988	15:16:32	30.10.2023
1,04343	21,1495	6,11968	15:16:42	30.10.2023
1,03792	21,0542	6,11831	15:16:52	30.10.2023
1,04384	21,0542	6,11829	15:17:02	30.10.2023
1,04114	20,9555	6,11974	15:17:12	30.10.2023
1,04427	21,0522	6,11978	15:17:22	30.10.2023
1,04975	21,346	6,12045	15:17:32	30.10.2023
1,03515	21,161	6,11981	15:17:42	30.10.2023
1,07161	21,1542	6,11724	15:17:52	30.10.2023
1,03169	21,0592	6,11672	15:18:02	30.10.2023
1,0399	21,2428	6,11716	15:18:12	30.10.2023
1,04335	21,1607	6,12032	15:18:22	30.10.2023
1,0212	21,4331	6,11666	15:18:32	30.10.2023
1,03388	21,362	6,11747	15:18:42	30.10.2023
1,04509	21,0796	6,11697	15:18:52	30.10.2023
1,05459	21,0542	6,11965	15:19:02	30.10.2023
1,03878	21,0542	6,11945	15:19:12	30.10.2023
1,03219	21,0542	6,11693	15:19:22	30.10.2023
1,04301	21,1427	6,11625	15:19:32	30.10.2023
1,05836	21,0665	6,11594	15:19:42	30.10.2023
1,04474	21,2284	6,11641	15:19:52	30.10.2023
1,04549	21,5134	6,1165	15:20:02	30.10.2023
1,05411	21,2117	6,11616	15:20:12	30.10.2023
1,05739	21,0694	6,11602	15:20:22	30.10.2023
1,05166	21,3065	6,11936	15:20:32	30.10.2023
1,04327	21,2709	6,11751	15:20:42	30.10.2023
1,05188	20,9566	6,11359	15:20:52	30.10.2023
1,06166	21,1515	6,11642	15:21:02	30.10.2023
1,0554	21,4479	6,1164	15:21:12	30.10.2023
1,03748	21,3571	6,11659	15:21:22	30.10.2023
1,04723	20,9684	6,11896	15:21:32	30.10.2023
1,05511	21,2411	6,11693	15:21:42	30.10.2023
1,04321	21,5389	6,11643	15:21:52	30.10.2023
1,04574	21,1771	6,11982	15:22:02	30.10.2023
1,05635	21,1542	6,11641	15:22:12	30.10.2023
1,04582	21,0616	6,11074	15:22:22	30.10.2023
1,04877	21,146	6,11627	15:22:32	30.10.2023
1,04351	21,0678	6,11647	15:22:42	30.10.2023
1,04545	21,2242	6,11931	15:22:52	30.10.2023
1,04521	21,0857	6,11631	15:23:02	30.10.2023
1,03773	21,1377	6,1162	15:23:12	30.10.2023
1,05033	21,1542	6,11679	15:23:22	30.10.2023
1,04431	21,1542	6,1169	15:23:32	30.10.2023
1,05448	21,1542	6,12064	15:23:42	30.10.2023
1,05146	21,1542	6,12059	15:23:52	30.10.2023
1,04524	20,9617	6,1168	15:24:02	30.10.2023
1,04967	21,3363	6,11716	15:24:12	30.10.2023
1,04072	20,975	6,11617	15:24:22	30.10.2023
1,04713	21,3307	6,11656	15:24:32	30.10.2023
1,03476	21,0742	6,11321	15:24:42	30.10.2023
1,04441	21,0542	6,11628	15:24:52	30.10.2023
1,0495	21,3294	6,1202	15:25:02	30.10.2023
1,03526	20,9903	6,12004	15:25:12	30.10.2023
1,03694	21,0446	6,11546	15:25:22	30.10.2023
1,04941	21,0542	6,11675	15:25:32	30.10.2023
1,03993	20,9653	6,11595	15:25:42	30.10.2023
1,03525	21,1306	6,11969	15:25:52	30.10.2023
1,04814	21,0667	6,11753	15:26:02	30.10.2023
1,05052	21,2277	6,11446	15:26:12	30.10.2023
1,03752	21,0822	6,11266	15:26:22	30.10.2023
1,03767	21,2246	6,11634	15:26:32	30.10.2023
1,04611	21,5076	6,1166	15:26:42	30.10.2023
1,04007	21,1351	6,1162	15:26:52	30.10.2023
1,04745	20,9544	6,1162	15:27:02	30.10.2023
1,04838	21,45	6,11717	15:27:12	30.10.2023
1,04982	21,0606	6,11381	15:27:22	30.10.2023
1,04279	21,2498	6,11487	15:27:32	30.10.2023
1,03263	20,963	6,11615	15:27:42	30.10.2023
1,0664	21,1471	6,11478	15:27:52	30.10.2023
1,03663	21,0587	6,11583	15:28:02	30.10.2023
1,05838	21,149	6,11627	15:28:12	30.10.2023
1,03746	21,0601	6,11593	15:28:22	30.10.2023
1,04314	21,0542	6,11315	15:28:32	30.10.2023
1,03164	20,9615	6,11629	15:28:42	30.10.2023
1,03162	20,9543	6,11642	15:28:52	30.10.2023
1,0448	21,0453	6,11345	15:29:02	30.10.2023
1,03937	21,2351	6,11657	15:29:12	30.10.2023
1,07462	21,2543	6,11603	15:29:22	30.10.2023
1,04976	20,9875	6,11643	15:29:32	30.10.2023
1,04384	21,3956	6,1171	15:29:42	30.10.2023
1,04071	21,1043	6,11694	15:29:52	30.10.2023
1,05215	21,1408	6,1169	15:30:02	30.10.2023
1,05515	21,1542	6,11639	15:30:12	30.10.2023
1,03213	21,1542	6,11446	15:30:22	30.10.2023
1,05223	21,0696	6,116	15:30:32	30.10.2023
1,05144	20,9705	6,11324	15:30:42	30.10.2023
1,02399	21,1535	6,11625	15:30:52	30.10.2023
1,03423	21,3523	6,11396	15:31:02	30.10.2023
1,04662	21,0593	6,11603	15:31:12	30.10.2023
1,04433	21,2494	6,11629	15:31:22	30.10.2023
1,04662	21,1574	6,11705	15:31:32	30.10.2023
1,03976	20,9624	6,10994	15:31:42	30.10.2023
1,03347	21,1447	6,1157	15:31:52	30.10.2023
1,04685	21,1542	6,11045	15:32:02	30.10.2023
1,03247	21,1542	6,11638	15:32:12	30.10.2023
1,04282	21,1542	6,11626	15:32:22	30.10.2023
1,02659	21,43	6,10998	15:32:32	30.10.2023
1,04469	21,1092	6,10943	15:32:42	30.10.2023
1,04406	21,3931	6,11491	15:32:52	30.10.2023
1,04217	21,1184	6,1164	15:33:02	30.10.2023
1,02325	21,7538	6,11365	15:33:12	30.10.2023
1,03306	21,2585	6,11332	15:33:22	30.10.2023
1,04112	21,1558	6,11631	15:33:32	30.10.2023
1,03257	20,9593	6,11334	15:33:42	30.10.2023
1,04252	21,0509	6,11274	15:33:52	30.10.2023
1,0458	21,0542	6,11272	15:34:02	30.10.2023
1,03293	20,959	6,1131	15:34:12	30.10.2023
1,05062	20,9543	6,11339	15:34:22	30.10.2023
1,03262	21,2361	6,11332	15:34:32	30.10.2023
1,03615	20,9749	6,10966	15:34:42	30.10.2023
1,04307	21,1392	6,11251	15:34:52	30.10.2023
1,03395	21,0623	6,112	15:35:02	30.10.2023
1,04347	21,419	6,11326	15:35:12	30.10.2023
1,03996	21,1831	6,11049	15:35:22	30.10.2023
1,04459	21,2439	6,10828	15:35:32	30.10.2023
1,04438	21,0765	6,11249	15:35:42	30.10.2023
1,0316	21,2305	6,11321	15:35:52	30.10.2023
1,0287	21,4288	6,11322	15:36:02	30.10.2023
1,04931	21,3678	6,11389	15:36:12	30.10.2023
1,04944	21,0967	6,10863	15:36:22	30.10.2023
1,03267	20,9692	6,10948	15:36:32	30.10.2023
1,0538	21,1233	6,10983	15:36:42	30.10.2023
1,04832	21,0704	6,10905	15:36:52	30.10.2023
1,05464	21,3526	6,11167	15:37:02	30.10.2023
1,04098	21,4531	6,11046	15:37:12	30.10.2023
1,03485	21,1596	6,11651	15:37:22	30.10.2023
1,04886	20,9593	6,11583	15:37:32	30.10.2023
1,04981	21,1478	6,11267	15:37:42	30.10.2023
1,04675	20,8661	6,11205	15:37:52	30.10.2023
1,04133	21,1405	6,11062	15:38:02	30.10.2023
1,05249	21,1542	6,10969	15:38:12	30.10.2023
1,04923	21,3418	6,10945	15:38:22	30.10.2023
1,03564	21,0751	6,11263	15:38:32	30.10.2023
1,03114	21,2387	6,11319	15:38:42	30.10.2023
1,03895	21,6204	6,11061	15:38:52	30.10.2023
1,04684	21,2	6,10988	15:39:02	30.10.2023
1,04025	20,974	6,10939	15:39:12	30.10.2023
1,05102	21,133	6,11328	15:39:22	30.10.2023
1,04012	21,4204	6,11337	15:39:32	30.10.2023
1,03173	21,1022	6,11073	15:39:42	30.10.2023
1,03787	20,8799	6,10905	15:39:52	30.10.2023
1,0464	21,1138	6,10935	15:40:02	30.10.2023
1,04746	21,1542	6,10893	15:40:12	30.10.2023
1,03656	21,2393	6,10825	15:40:22	30.10.2023
1,03078	20,9172	6,10934	15:40:32	30.10.2023
1,03947	20,9379	6,11278	15:40:42	30.10.2023
1,06039	21,352	6,1094	15:40:52	30.10.2023
1,04231	21,0579	6,10972	15:41:02	30.10.2023
1,03721	21,3481	6,11301	15:41:12	30.10.2023
1,0372	21,257	6,10968	15:41:22	30.10.2023
1,03874	21,4473	6,11029	15:41:32	30.10.2023
1,03418	21,1666	6,10976	15:41:42	30.10.2023
1,03861	21,0591	6,10955	15:41:52	30.10.2023
1,04029	21,0542	6,11028	15:42:02	30.10.2023
1,04186	21,2418	6,11318	15:42:12	30.10.2023
1,02781	21,0684	6,11022	15:42:22	30.10.2023
1,04756	21,0542	6,10966	15:42:32	30.10.2023
1,0442	20,968	6,10997	15:42:42	30.10.2023
1,04011	21,1239	6,11028	15:42:52	30.10.2023
1,02544	20,9864	6,11023	15:43:02	30.10.2023
1,03031	21,1535	6,10974	15:43:12	30.10.2023
1,03167	21,3518	6,10963	15:43:22	30.10.2023
1,04264	21,5505	6,10935	15:43:32	30.10.2023
1,04662	21,1646	6,10647	15:43:42	30.10.2023
1,03894	21,251	6,10911	15:43:52	30.10.2023
1,04108	21,1581	6,10933	15:44:02	30.10.2023
1,05489	21,1542	6,10624	15:44:12	30.10.2023
1,05384	21,249	6,10949	15:44:22	30.10.2023
1,03118	21,066	6,10918	15:44:32	30.10.2023
1,04732	20,9607	6,10914	15:44:42	30.10.2023
1,03858	20,9543	6,10942	15:44:52	30.10.2023
1,0247	20,862	6,10337	15:45:02	30.10.2023
1,05462	21,3129	6,10637	15:45:12	30.10.2023
1,05401	21,2632	6,10738	15:45:22	30.10.2023
1,03932	21,0737	6,10975	15:45:32	30.10.2023
1,04445	21,5028	6,10898	15:45:42	30.10.2023
1,03653	21,02	6,10665	15:45:52	30.10.2023
1,04199	21,1308	6,10973	15:46:02	30.10.2023
1,04623	21,0665	6,10937	15:46:12	30.10.2023
1,03342	21,0542	6,10907	15:46:22	30.10.2023
1,04967	21,1406	6,10641	15:46:32	30.10.2023
1,03914	21,0684	6,10873	15:46:42	30.10.2023
1,04061	21,1394	6,10665	15:46:52	30.10.2023
1,04386	21,0694	6,10598	15:47:02	30.10.2023
1,03553	21,0542	6,10467	15:47:12	30.10.2023
1,04141	21,1378	6,10239	15:47:22	30.10.2023
1,03806	21,254	6,10668	15:47:32	30.10.2023
1,04447	21,4524	6,10626	15:47:42	30.10.2023
1,04194	20,9611	6,10325	15:47:52	30.10.2023
1,03724	21,248	6,10894	15:48:02	30.10.2023
1,03175	21,1569	6,10637	15:48:12	30.10.2023
1,04945	21,0575	6,10596	15:48:22	30.10.2023
1,03678	21,0542	6,10623	15:48:32	30.10.2023
1,04556	21,4356	6,10382	15:48:42	30.10.2023
1,04664	21,0752	6,10888	15:48:52	30.10.2023
1,03764	21,1482	6,10915	15:49:02	30.10.2023
1,03496	21,0608	6,1074	15:49:12	30.10.2023
1,04225	21,0542	6,10343	15:49:22	30.10.2023
1,03315	21,3304	6,10325	15:49:32	30.10.2023
1,03686	20,9883	6,10264	15:49:42	30.10.2023
1,02992	21,2271	6,10266	15:49:52	30.10.2023
1,02062	21,3447	6,10329	15:50:02	30.10.2023
1,03061	20,9954	6,10231	15:50:12	30.10.2023
1,03667	20,9543	6,10235	15:50:22	30.10.2023
1,05492	21,2198	6,10636	15:50:32	30.10.2023
1,03721	20,9905	6,10359	15:50:42	30.10.2023
1,03413	21,2165	6,10307	15:50:52	30.10.2023
1,0396	21,2543	6,10273	15:51:02	30.10.2023
1,0376	20,996	6,10529	15:51:12	30.10.2023
1,04267	21,1251	6,10299	15:51:22	30.10.2023
1,04691	21,0694	6,1048	15:51:32	30.10.2023
1,03869	21,1384	6,10268	15:51:42	30.10.2023
1,04591	21,0706	6,10277	15:51:52	30.10.2023
1,03815	21,0542	6,10583	15:52:02	30.10.2023
1,04572	21,0542	6,10311	15:52:12	30.10.2023
1,03206	20,8623	6,10589	15:52:22	30.10.2023
1,05536	21,1407	6,10249	15:52:32	30.10.2023
1,05469	20,9725	6,10245	15:52:42	30.10.2023
1,05025	21,044	6,1001	15:52:52	30.10.2023
1,09987	20,965	2,53976	15:53:02	30.10.2023
1,09087	21,2204	1,2643	15:53:12	30.10.2023
1,05969	20,9022	1,12644	15:53:22	30.10.2023
1,01975	20,8543	1,11596	15:53:32	30.10.2023
0,924735	20,9411	1,11189	15:53:42	30.10.2023
0,862859	20,9543	1,11839	15:53:52	30.10.2023
0,826271	21,2103	1,11621	15:54:02	30.10.2023
0,802032	21,2543	1,11208	15:54:12	30.10.2023
0,798165	21,0858	1,09386	15:54:22	30.10.2023
0,780623	20,9706	1,10432	15:54:32	30.10.2023
0,694869	21,054	1,10178	15:54:42	30.10.2023
0,655766	20,8554	1,09813	15:54:52	30.10.2023
0,61101	21,2501	1,09786	15:55:02	30.10.2023
0,587357	20,9588	1,09351	15:55:12	30.10.2023
0,558417	21,1496	1,08495	15:55:22	30.10.2023
0,526293	20,9602	1,0932	15:55:32	30.10.2023
0,511874	20,9543	1,0949	15:55:42	30.10.2023
0,487812	21,0499	1,09422	15:55:52	30.10.2023
0,509887	20,8642	1,04364	15:56:02	30.10.2023
0,52058	20,9487	1,0146	15:56:12	30.10.2023
0,520266	20,9543	1,20855	15:56:22	30.10.2023
0,497815	21,0476	1,1666	15:56:32	30.10.2023
0,488402	21,0542	1,15753	15:56:42	30.10.2023
0,4717	20,8707	1,15723	15:56:52	30.10.2023
0,417894	20,9456	1,10639	15:57:02	30.10.2023
0,361418	21,1356	1,03227	15:57:12	30.10.2023
0,415206	20,9743	1,5248	15:57:22	30.10.2023
0,430791	21,1329	1,22826	15:57:32	30.10.2023
0,409783	20,8878	1,15999	15:57:42	30.10.2023
0,385447	21,1191	1,15352	15:57:52	30.10.2023
0,31343	21,0666	1,12281	15:58:02	30.10.2023
0,340228	20,7936	1,11269	15:58:12	30.10.2023
0,324986	21,0129	1,10899	15:58:22	30.10.2023
0,314587	20,9687	1,10271	15:58:32	30.10.2023
0,318205	21,039	1,09873	15:58:42	30.10.2023
0,298787	20,8863	1,10417	15:58:52	30.10.2023
0,224712	20,9539	1,10041	15:59:02	30.10.2023
0,228182	21,0534	1,10171	15:59:12	30.10.2023
0,225077	21,0542	1,10019	15:59:22	30.10.2023
0,209405	21,2501	1,10062	15:59:32	30.10.2023
0,211613	21,0597	1,09807	15:59:42	30.10.2023
0,211647	20,9577	1,09388	15:59:52	30.10.2023
0,191714	20,9543	1,09387	16:00:02	30.10.2023
0,191891	21,0495	1,09473	16:00:12	30.10.2023
0,188892	20,7704	1,09728	16:00:22	30.10.2023
0,185757	21,3177	1,09368	16:00:32	30.10.2023
0,169941	20,9813	1,09512	16:00:42	30.10.2023
0,189022	21,0468	1,09681	16:00:52	30.10.2023
0,174912	21,146	1,09453	16:01:02	30.10.2023
0,154804	21,2454	1,09392	16:01:12	30.10.2023
0,171332	21,0735	1,09406	16:01:22	30.10.2023
0,168667	20,9645	1,09628	16:01:32	30.10.2023
0,168243	20,9543	1,09779	16:01:42	30.10.2023
0,170366	21,1309	1,09484	16:01:52	30.10.2023
0,172716	21,0666	1,09403	16:02:02	30.10.2023
0,166015	20,9673	1,09381	16:02:12	30.10.2023
0,154727	20,9543	1,0964	16:02:22	30.10.2023
0,161456	20,9543	1,09444	16:02:32	30.10.2023
0,143483	20,9543	1,09718	16:02:42	30.10.2023
0,139925	20,7625	1,09717	16:02:52	30.10.2023
0,149716	21,0394	1,0938	16:03:02	30.10.2023
0,166717	20,9598	1,09395	16:03:12	30.10.2023
0,147173	20,8604	1,09352	16:03:22	30.10.2023
0,150626	20,9476	1,09642	16:03:32	30.10.2023
0,147914	21,2325	1,09384	16:03:42	30.10.2023
0,137422	20,8864	1,09403	16:03:52	30.10.2023
0,137405	20,9455	1,09399	16:04:02	30.10.2023
0,150492	20,9543	1,09353	16:04:12	30.10.2023
0,152389	20,8646	1,09428	16:04:22	30.10.2023
0,134645	20,8543	1,09359	16:04:32	30.10.2023
0,135555	21,1189	1,09365	16:04:42	30.10.2023
0,1499	20,8918	1,09385	16:04:52	30.10.2023
0,135686	20,7674	1,09379	16:05:02	30.10.2023
0,130763	20,9264	1,09454	16:05:12	30.10.2023
0,152963	20,9543	1,09342	16:05:22	30.10.2023
0,131935	21,0391	1,0941	16:05:32	30.10.2023
0,117201	21,391	1,09358	16:05:42	30.10.2023
0,134787	21,2035	1,09358	16:05:52	30.10.2023
0,139583	21,1542	1,09759	16:06:02	30.10.2023
0,132578	20,9563	1,09707	16:06:12	30.10.2023
0,147677	21,1511	1,09725	16:06:22	30.10.2023
0,131295	20,8607	1,09438	16:06:32	30.10.2023
0,132706	21,1457	1,09695	16:06:42	30.10.2023
0,149694	20,9615	1,0947	16:06:52	30.10.2023
0,15316	21,3378	1,0942	16:07:02	30.10.2023
0,14105	21,1636	1,09427	16:07:12	30.10.2023
0,150464	20,965	1,09762	16:07:22	30.10.2023
0,129092	21,5178	1,09767	16:07:32	30.10.2023
0,133962	21,2747	1,09483	16:07:42	30.10.2023
0,148379	20,9767	1,09421	16:07:52	30.10.2023
0,130906	21,0462	1,09724	16:08:02	30.10.2023
0,14713	20,8715	1,09424	16:08:12	30.10.2023
0,144158	20,7634	1,09726	16:08:22	30.10.2023
0,154584	21,2042	1,09466	16:08:32	30.10.2023
0,129901	20,9866	1,09778	16:08:42	30.10.2023
0,134996	20,9543	1,09687	16:08:52	30.10.2023
0,149248	20,8665	1,09692	16:09:02	30.10.2023
0,129964	21,0283	1,09458	16:09:12	30.10.2023
0,139635	20,9681	1,09435	16:09:22	30.10.2023
0,135932	21,0397	1,09723	16:09:32	30.10.2023
0,143937	20,8845	1,09477	16:09:42	30.10.2023
0,14401	20,9384	1,09329	16:09:52	30.10.2023
0,148453	21,2876	1,09367	16:10:02	30.10.2023
0,138029	20,8578	1,09456	16:10:12	30.10.2023
0,139181	20,9532	1,0937	16:10:22	30.10.2023
0,141402	21,0524	1,09339	16:10:32	30.10.2023
0,170249	21,2492	1,09415	16:10:42	30.10.2023
0,140432	20,964	1,09466	16:10:52	30.10.2023
0,136761	21,4344	1,09449	16:11:02	30.10.2023
0,148103	20,9781	1,09467	16:11:12	30.10.2023
0,150785	20,9543	1,09412	16:11:22	30.10.2023
0,148629	20,9543	1,09481	16:11:32	30.10.2023
0,161948	21,0475	1,09442	16:11:42	30.10.2023
0,151606	21,0542	1,09701	16:11:52	30.10.2023
0,142791	21,33	1,09438	16:12:02	30.10.2023
0,140743	21,2633	1,09729	16:12:12	30.10.2023
0,161607	20,9831	1,09456	16:12:22	30.10.2023
0,153474	21,2229	1,09383	16:12:32	30.10.2023
0,148397	20,916	1,09328	16:12:42	30.10.2023
0,156382	20,8543	1,09358	16:12:52	30.10.2023
0,157984	20,9534	1,09387	16:13:02	30.10.2023
0,153264	20,8558	1,09388	16:13:12	30.10.2023
0,142288	20,7562	1,09811	16:13:22	30.10.2023
0,1422	20,7541	1,09454	16:13:32	30.10.2023
0,132931	21,0439	1,09741	16:13:42	30.10.2023
0,171099	21,0542	1,09446	16:13:52	30.10.2023
0,134864	20,9591	1,09428	16:14:02	30.10.2023
0,154699	21,0488	1,09437	16:14:12	30.10.2023
0,153365	21,0542	1,09355	16:14:22	30.10.2023
0,156973	21,0542	1,09449	16:14:32	30.10.2023
