mV	mV	mV	mV	mV	°C	bar	%*bar	Zeit	Datum
0,246089	0,719738	0,914552	0,686925	0,507536	23,2558	-0,0469398	4,12122	15:24:47	30.10.2023
0,247637	0,720261	0,914182	0,686297	0,507	23,1927	-0,0473672	4,12179	15:25:47	30.10.2023
0,247879	0,718441	0,912876	0,687575	0,507293	23,2556	-0,0474008	5,11663	15:26:47	30.10.2023
0,244854	0,717599	0,91303	0,685295	0,505937	23,3395	-0,0473083	4,15813	15:27:47	30.10.2023
0,247458	0,721374	0,914309	0,685926	0,506767	23,2989	-0,0479381	4,61649	15:28:47	30.10.2023
0,246189	0,717444	0,915185	0,68525	0,507935	23,2808	-0,0479345	4,50003	15:29:47	30.10.2023
0,24603	0,720404	0,913188	0,685709	0,508091	23,1952	-0,0479745	4,50029	15:30:47	30.10.2023
0,246264	0,717418	0,912686	0,68712	0,507152	23,2757	-0,0482794	4,50139	15:31:47	30.10.2023
0,245453	0,720023	0,912172	0,685863	0,506404	23,3285	-0,0479542	4,51227	15:32:47	30.10.2023
0,24363	0,714709	0,913607	0,686376	0,507127	23,1954	-0,0480264	4,51118	15:33:47	30.10.2023
0,244291	0,715821	0,912913	0,686512	0,507718	23,1947	-0,0485572	4,51689	15:34:47	30.10.2023
0,244399	0,719123	0,913596	0,686042	0,506652	23,2484	-0,0486407	4,52197	15:35:47	30.10.2023
0,245093	0,717212	0,915453	0,686964	0,50688	23,2136	-0,0486552	4,4992	15:36:47	30.10.2023
0,245369	0,717527	0,915808	0,687432	0,50811	23,215	-0,0477947	4,50245	15:37:47	30.10.2023
0,246397	0,718989	0,916894	0,687027	0,506972	23,2212	-0,0470928	5,64192	15:38:47	30.10.2023
0,24376	0,718485	0,916017	0,687508	0,507319	23,2337	-0,0481454	5,67006	15:39:47	30.10.2023
0,241745	0,717597	0,915253	0,687606	0,507652	23,2278	-0,0486159	5,66906	15:40:47	30.10.2023
0,24391	0,717125	0,917337	0,686306	0,508138	23,2775	-0,0472697	5,63153	15:41:47	30.10.2023
0,245639	0,716186	0,915376	0,68607	0,507668	23,2207	-0,0477749	5,6384	15:42:47	30.10.2023
0,245774	0,718705	0,913635	0,685935	0,507497	23,1906	-0,0472057	5,63883	15:43:47	30.10.2023
0,244561	0,714865	0,914472	0,685383	0,507889	23,2647	-0,047148	5,66924	15:44:47	30.10.2023
0,246048	0,715571	0,916053	0,687838	0,507664	23,2299	-0,047313	5,64006	15:45:47	30.10.2023
0,243073	0,715475	0,915106	0,687077	0,506562	23,2917	-0,0475702	5,64962	15:46:47	30.10.2023
0,245249	0,71507	0,917232	0,687312	0,507425	23,2593	-0,0481999	5,64874	15:47:47	30.10.2023
0,246374	0,716152	0,917217	0,686036	0,508156	23,2512	-0,0481695	6,66203	15:48:47	30.10.2023
0,243747	0,712966	0,916035	0,687169	0,508151	23,1716	-0,0473388	6,64236	15:49:47	30.10.2023
0,2451	0,714088	0,917642	0,688002	0,506297	23,2173	-0,0475967	6,65725	15:50:47	30.10.2023
0,244823	0,716942	0,916504	0,687567	0,507575	23,2472	-0,0492271	6,63741	15:51:47	30.10.2023
0,243352	0,713783	0,916438	0,686177	0,507208	23,2822	-0,0470424	6,63902	15:52:47	30.10.2023
0,244929	0,715465	0,917256	0,686587	0,507233	23,2638	-0,0476246	6,63852	15:53:47	30.10.2023
0,243061	0,713747	0,915111	0,686877	0,507962	23,2187	-0,048008	6,673	15:54:47	30.10.2023
0,243173	0,714227	0,915291	0,687305	0,506609	23,288	-0,0472644	6,65482	15:55:47	30.10.2023
0,245697	0,71397	0,917052	0,685525	0,507349	23,2607	-0,0473068	6,63779	15:56:47	30.10.2023
0,245703	0,711899	0,915965	0,687259	0,507647	23,2559	-0,0473296	6,65225	15:57:47	30.10.2023
0,243546	0,711946	0,917249	0,687307	0,507007	23,251	-0,0472163	7,66174	15:58:47	30.10.2023
0,244669	0,711946	0,9171	0,68661	0,507102	23,271	-0,0479849	7,66897	15:59:47	30.10.2023
0,242895	0,712802	0,916315	0,687945	0,506738	23,2745	-0,0475959	7,64578	16:00:47	30.10.2023
0,242901	0,715655	0,91788	0,686339	0,507153	23,2404	-0,0467158	7,65383	16:01:47	30.10.2023
0,234442	0,704958	0,909144	1,91327	0,499717	23,2416	-0,0484579	7,65791	16:02:47	30.10.2023
0,236693	0,703543	0,905302	2,08473	0,498595	23,1815	-0,0478197	7,67302	16:03:47	30.10.2023
0,23508	0,70546	0,903458	1,92495	0,498634	23,2049	-0,0480269	7,68404	16:04:47	30.10.2023
0,235133	0,702158	0,90422	1,95079	0,496837	23,2817	-0,0482219	7,64487	16:05:47	30.10.2023
0,235036	0,703633	0,902522	1,94235	0,497767	23,2332	-0,0482419	7,68719	16:06:47	30.10.2023
0,233707	0,706519	0,902431	1,98291	0,496808	23,2165	-0,0482924	7,66738	16:07:47	30.10.2023
0,236743	0,704206	0,902128	1,94284	0,497026	23,232	-0,0477184	8,55615	16:08:47	30.10.2023
0,234379	0,703336	0,902343	1,97112	0,496556	23,2184	-0,0467475	8,66721	16:09:47	30.10.2023
0,234728	0,705082	0,902944	1,99372	0,497699	23,2444	-0,047075	8,67213	16:10:47	30.10.2023
0,233871	0,702568	0,90231	1,97766	0,497102	23,2387	-0,0480571	8,56697	16:11:47	30.10.2023
0,237444	0,704266	0,902129	1,94259	0,49724	23,2416	-0,0469811	8,52697	16:12:47	30.10.2023
0,235221	0,699761	0,902886	1,96106	0,49695	23,308	-0,0475225	8,57344	16:13:47	30.10.2023
0,235428	0,70253	0,904121	1,95371	0,497295	23,2095	-0,0490002	8,53818	16:14:47	30.10.2023
0,23394	0,700843	0,902986	1,9238	0,497567	23,2291	-0,0483618	8,53521	16:15:47	30.10.2023
0,234041	0,701105	0,902758	2,09435	0,497724	23,2016	-0,0481397	8,52518	16:16:47	30.10.2023
0,233847	0,698921	0,902124	1,96964	0,497925	23,2482	-0,0476147	8,55086	16:17:47	30.10.2023
0,234945	0,70017	0,901039	1,99231	0,496788	23,2524	-0,0475944	7,66298	16:18:47	30.10.2023
0,234075	0,701733	0,902205	1,9557	0,497499	23,2201	-0,046767	7,66467	16:19:47	30.10.2023
0,233401	0,700072	0,900539	2,12236	0,496953	23,1428	-0,047207	7,6645	16:20:47	30.10.2023
0,23491	0,700433	0,902667	1,958	0,496579	23,213	-0,0476681	7,6886	16:21:47	30.10.2023
0,236089	0,698999	0,902347	1,98788	0,494898	23,2477	-0,0468616	7,6784	16:22:47	30.10.2023
0,234332	0,700925	0,904052	1,98303	0,496949	23,2556	-0,048068	7,65683	16:23:47	30.10.2023
0,234385	0,700087	0,901743	1,93939	0,497011	23,1654	-0,0477315	7,65006	16:24:47	30.10.2023
0,235282	0,699025	0,902725	1,95081	0,497017	23,2329	-0,0475098	7,65049	16:25:47	30.10.2023
0,23622	0,701194	0,90361	1,9787	0,497522	23,2293	-0,0477474	7,68245	16:26:47	30.10.2023
0,237582	0,700742	0,903642	1,98085	0,497495	23,2136	-0,047683	7,68533	16:27:47	30.10.2023
0,236499	0,699222	0,90116	1,96612	0,497185	23,2533	-0,0476644	6,66067	16:28:47	30.10.2023
0,233918	0,69939	0,901266	1,96033	0,497406	23,2292	-0,0470614	6,63869	16:29:47	30.10.2023
0,237393	0,699322	0,90286	1,97382	0,497402	23,24	-0,0476871	6,667	16:30:47	30.10.2023
0,235551	0,698777	0,90088	1,94473	0,496813	23,1852	-0,046855	6,67347	16:31:47	30.10.2023
0,235917	0,699529	0,90294	1,95171	0,497753	23,179	-0,0479271	6,52759	16:32:47	30.10.2023
0,23822	0,699628	0,902665	2,11648	0,497207	23,2314	-0,0476879	6,68055	16:33:47	30.10.2023
0,233474	0,698968	0,901481	2,00119	0,497816	23,2611	-0,0468513	6,65025	16:34:47	30.10.2023
0,238098	0,699954	0,901965	2,00043	0,495711	23,1798	-0,0467411	6,63849	16:35:47	30.10.2023
0,226844	0,691477	1,97436	1,93491	0,489062	23,2267	-0,048297	6,67709	16:36:47	30.10.2023
0,226878	0,687465	2,01059	1,95871	0,490104	23,2729	-0,0473434	6,60901	16:37:47	30.10.2023
0,228639	0,690885	2,01817	1,97443	0,489821	23,2513	-0,0475279	5,76885	16:38:47	30.10.2023
0,228723	0,691287	2,03476	1,9261	0,491285	23,2236	-0,0467659	5,52899	16:39:47	30.10.2023
0,23094	0,689051	2,02889	1,96601	0,49052	23,2277	-0,0466008	5,52404	16:40:47	30.10.2023
0,229436	0,689888	2,04597	1,94337	0,49066	23,3228	-0,0469937	5,52517	16:41:47	30.10.2023
0,228662	0,688618	2,03537	1,97355	0,491197	23,1918	-0,0468773	5,50713	16:42:47	30.10.2023
0,230355	0,689364	1,99019	1,99481	0,49033	23,2395	-0,0469461	5,54769	16:43:47	30.10.2023
0,230731	0,691292	1,99472	1,93972	0,492177	23,257	-0,0466949	5,65914	16:44:47	30.10.2023
0,230913	0,69052	2,0274	1,9529	0,490773	23,2854	-0,0468125	5,6665	16:45:47	30.10.2023
0,230188	0,69019	2,03518	2,1116	0,491639	23,2593	-0,0469221	5,54335	16:46:47	30.10.2023
0,230659	0,692457	2,01764	2,02109	0,490745	23,2983	-0,0471897	5,54668	16:47:47	30.10.2023
0,229627	0,689383	2,00196	1,96388	0,487769	23,3087	-0,04694	2,8187	16:48:47	30.10.2023
0,229764	0,689977	2,05011	1,99927	0,491989	23,2768	-0,0469154	0,911826	16:49:47	30.10.2023
0,229125	0,690173	2,02098	1,97754	0,491051	23,3198	-0,0466722	0,986301	16:50:47	30.10.2023
0,238786	0,698375	0,710196	1,98181	0,498532	23,2782	-0,0465382	1,01383	16:51:47	30.10.2023
0,247109	0,708581	0,678725	0,533273	0,505919	23,2091	-0,0470211	0,98888	16:52:47	30.10.2023
0,247643	0,709989	0,71965	0,64203	0,506033	23,2754	-0,0470192	1,01253	16:53:47	30.10.2023
0,248174	0,708584	0,79764	0,79393	0,506783	23,1951	-0,0474134	0,992026	16:54:47	30.10.2023
0,24653	0,70751	0,857002	0,911941	0,506868	23,17	-0,0474511	0,978584	16:55:47	30.10.2023
0,24864	0,707423	0,902311	0,991956	0,507648	23,2382	-0,0474344	1,00331	16:56:47	30.10.2023
0,246523	0,705537	0,932829	1,0478	0,506576	23,2913	0,0168958	0,98427	16:57:47	30.10.2023
0,255388	0,714614	0,953584	1,07925	0,505989	23,077	0,015216	1,00361	16:58:47	30.10.2023
0,266706	0,726645	0,976947	1,11162	0,509401	22,8465	0,0134828	1,01352	16:59:47	30.10.2023
0,272204	0,734367	0,998148	1,14049	0,515744	22,8983	0,0140257	1,24401	17:00:47	30.10.2023
0,278352	0,736074	1,02506	1,17317	0,5244	23,2071	0,0172111	1,24371	17:01:47	30.10.2023
0,284443	0,74217	1,04818	1,20058	0,532005	23,4793	0,0186114	1,2411	17:02:47	30.10.2023
0,28717	0,747515	1,06804	1,22232	0,538203	23,7468	0,0191026	1,23409	17:03:47	30.10.2023
0,290564	0,751909	1,08269	1,23625	0,542881	23,9193	0,0201166	1,25011	17:04:47	30.10.2023
0,294922	0,760575	1,0928	1,24232	0,54559	24,0511	0,0203681	1,26445	17:05:47	30.10.2023
0,29536	0,76403	1,10124	1,24039	0,54786	24,0709	0,0202432	1,26447	17:06:47	30.10.2023
0,299811	0,767565	1,1075	1,238	0,548999	24,174	0,0208126	1,26368	17:07:47	30.10.2023
0,297172	0,773874	1,11172	1,23315	0,55175	24,213	0,0209538	1,23041	17:08:47	30.10.2023
0,296826	0,779591	1,11262	1,22878	0,553225	24,2493	0,0207827	1,13136	17:09:47	30.10.2023
